,label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,match_score,nomatch_score,alteredAttributes,droppedValues,copiedValues,triangle,attr_count
27,,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,612 Brew Wild Rice Dunkel,18th Street Brewery,Dunkel/Tmav Ã 1/2,7.40 %,0.037389952689409256,0.9626100473105907,"('rtable_Beer_Name', 'rtable_Style')","['Rude Hippo Honey Basil Amber', 'Amber Ale']","['612 Brew Wild Rice Dunkel', 'Dunkel/Tmav Ã 1/2']",1@2224 0@3917 1@11722,2
23,,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Bauhaus Brew Labs Sky-Five Midwest CÃ ¶ ast IPA - Cardamom & Grapefruit Zest,18th Street Brewery,India Pale,7.40 %,0.0022679532412439585,0.997732046758756,"('rtable_Beer_Name', 'rtable_Style')","['Rude Hippo Honey Basil Amber', 'Amber Ale']","['Bauhaus Brew Labs Sky-Five Midwest CÃ ¶ ast IPA - Cardamom & Grapefruit Zest', 'India Pale']",1@2224 0@3917 1@35583,2
20,,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Bauhaus Brew Labs Sky-Five Midwest CÃ ¶ ast IPA - Cardamom & Grapefruit Zest,18th Street Brewery,&#41;,7.40 %,0.0018822415731847286,0.9981177584268153,"('rtable_Beer_Name', 'rtable_Style')","['Rude Hippo Honey Basil Amber', 'Amber Ale']","['Bauhaus Brew Labs Sky-Five Midwest CÃ ¶ ast IPA - Cardamom & Grapefruit Zest', '&#41;']",1@2224 0@3917 1@35588,2
18,,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Wild Rice Dunkel,18th Street Brewery,Dunkel/Tmav Ã 1/2,7.40 %,0.3145826458930969,0.6854173541069031,"('rtable_Beer_Name', 'rtable_Style')","['Rude Hippo Honey Basil Amber', 'Amber Ale']","['Wild Rice Dunkel', 'Dunkel/Tmav Ã 1/2']",1@2224 0@3917 1@11716,2
17,,Moose Knuckle Barleywine,Piece,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0.4865710437297821,0.5134289562702179,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Honey Basil Amber', 'Rude Hippo Brewing Company']","['Moose Knuckle Barleywine', 'Piece']",0@3917 1@2224 0@85110,2
25,,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,612 Brew Wild Rice,18th Street Brewery,Dunkel/Tmav Ã 1/2,7.40 %,0.18445368111133575,0.8155463188886642,"('rtable_Beer_Name', 'rtable_Style')","['Rude Hippo Honey Basil Amber', 'Amber Ale']","['612 Brew Wild Rice', 'Dunkel/Tmav Ã 1/2']",1@2224 0@3917 1@11721,2
14,,Leviathan Barleywine,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0.024203432723879814,0.9757965672761202,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Honey Basil Amber', 'Rude Hippo Brewing Company']","['Leviathan Barleywine', 'Fish Brewing Company / Fishbowl Brewpub']",0@3917 1@2224 0@83613,2
9,,Fish Tale Leviathan Barleywine,Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0.08119530975818634,0.9188046902418137,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Honey Basil Amber', 'Rude Hippo Brewing Company']","['Fish Tale Leviathan Barleywine', 'Brewing Company / Fishbowl Brewpub']",0@3917 1@2224 0@83617,2
12,,Fish Tale Leviathan Barleywine,Company / Fishbowl Brewpub,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0.06953165680170059,0.9304683431982994,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Honey Basil Amber', 'Rude Hippo Brewing Company']","['Fish Tale Leviathan Barleywine', 'Company / Fishbowl Brewpub']",0@3917 1@2224 0@83619,2
7,,Uncle Billy 's Bitchin ' Camaro,Uncle Billy 's Brew & Que,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,7.40 %,0.10568997263908386,0.8943100273609161,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Honey Basil Amber', 'Rude Hippo Brewing Company']","[""Uncle Billy 's Bitchin ' Camaro"", ""Uncle Billy 's Brew & Que""]",0@3917 1@2224 0@30354,2
