,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,label
0,Elevator ( feat . Timbaland ),Flo Rida,Mail On Sunday ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",Album Only,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:03,11-Sep-12,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 Warner Bros. . Records Inc.,4:03,"March 17 , 2008",1
1,Elevator ( feat . Timbaland ),Flo Rida,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.99,‰ ãÑ 2013 WaterTower Music,4:03,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Howard Shore,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,4:03,"April 17 , 2009",1
2,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Flo Rida,Mail On Sunday ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",Album Only,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:03,11-Sep-12,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 Warner Bros. . Records Inc.,4:03,"March 17 , 2008",1
3,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Flo Rida,Mail On Sunday ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",Album Only,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:03,11-Sep-12,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,4:03,"March 17 , 2008",1
4,Elevator ( feat . Timbaland ),Justin Bieber,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.99,‰ ãÑ 2013 WaterTower Music,4:03,17-Mar-08,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Howard Shore,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,4:03,"April 17 , 2009",1
5,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Flo Rida,Mail On Sunday ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",Album Only,2012 The Island Def Jam Music Group,4:03,11-Sep-12,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 0.99,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,4:03,"March 17 , 2008",1
6,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Flo Rida,Mail On Sunday ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",Album Only,2012 The Island Def Jam Music Group,4:03,11-Sep-12,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Mail On Sunday [ Explicit ],Dance & Electronic,$ 0.99,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,4:03,"March 17 , 2008",1
7,As Long As You Love Me ( feat . Big Sean ) [ Audien Luvstep Mix ],Flo Rida,Mail On Sunday ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",Album Only,2012 The Island Def Jam Music Group,4:03,11-Sep-12,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Flo Rida,Listen ( Deluxe ),Dance & Electronic,$ 0.99,2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc.,4:03,"March 17 , 2008",1
8,Whateva ( feat . Monty ),Flo Rida,VHS,"Hip-Hop/Rap , Music , Dirty South",$ 0.99,2012 The Island Def Jam Music Group,4:03,17-Mar-08,My Way ( feat . Monty ) [ Clean ],Flo Rida,Flight School [ Explicit ],Rap & Hip-Hop,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,4:03,"August 21 , 2009",1
9,Elevator ( feat . Timbaland ),Justin Bieber,Mail On Sunday ( Deluxe Version ),"Hip-Hop/Rap , Music , Dirty South",$ 1.99,‰ ãÑ 2013 WaterTower Music,4:03,24-Nov-14,Money Right ( feat . Rick Ross & Brisco ) [ Explicit ],Howard Shore,Mail On Sunday [ Explicit ],Rap & Hip-Hop,$ 1.29,2013 Warner Bros. . Records Inc.,4:03,"April 17 , 2009",1
